,TOV_team,F_tech,team_score,opponent_team_score,largest_lead,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away_NS,travel_dist,shooting_efficiency,rebound_score,assist_turnover_ratio,defensive_impact
holy_cross_crusaders,0.26666666666666666,0.13333333333333333,60.1,55.766666666666666,12.233333333333333,,,,,,0.1,,0.41970150455549576,38.2,0.860915180450784,-3.966666666666667
grambling_lady_tigers,0.5714285714285714,0.19047619047619047,59.04761904761905,72.04761904761905,4.428571428571429,,,,-0.09523809523809523,,-0.6666666666666666,733.3333333333334,0.39626248334989683,31.904761904761905,0.6406441292652184,-8.857142857142858
unlv_lady_rebels,0.28125,0.28125,75.5625,64.46875,16.375,,,,0.0,,0.1875,344.1875,0.48692086393520434,40.25,1.0937671213321851,-4.96875
providence_friars,0.8333333333333334,0.0,59.9,63.86666666666667,9.4,,,,0.0,,0.16666666666666666,305.73333333333335,0.42657645434023617,38.36666666666667,0.5982981012944669,-2.966666666666667
monmouth_hawks,0.7666666666666667,0.03333333333333333,59.2,61.56666666666667,8.2,,,,0.0,,-0.03333333333333333,106.56666666666666,0.397252616957093,37.833333333333336,0.6797429580069129,-5.2
mars_hill_mountain_lions,1.3333333333333333,0.0,43.0,81.0,0.3333333333333333,,,,,,0.0,,0.3385225885225885,25.0,0.32916666666666666,-5.0
south_carolina_upstate_spartans,0.7407407407407407,0.0,66.88888888888889,58.333333333333336,17.074074074074073,,,,,,-0.1111111111111111,,0.47414791103772247,32.44444444444444,0.9566055622256173,-5.481481481481482
bowling_green_falcons,0.5666666666666667,0.16666666666666666,72.7,69.06666666666666,12.866666666666667,,,,,,0.06666666666666667,,0.4760986960661965,34.56666666666667,0.9953729311624049,-6.0
miami_oh_redhawks,0.3793103448275862,0.034482758620689655,67.37931034482759,72.17241379310344,6.379310344827586,,,,0.0,,-0.034482758620689655,151.89655172413794,0.4188967084405717,37.03448275862069,0.7674521289576918,-8.482758620689655
loyola_chicago_ramblers,0.8333333333333334,0.1,59.733333333333334,55.7,12.766666666666667,,,,,,-0.06666666666666667,,0.4193693544841412,37.43333333333333,0.9345618088481864,-5.2
william_carey_crusaders,0.5,0.0,35.0,70.0,1.0,,,,,,0.0,,0.31931818181818183,31.0,0.21240601503759388,-9.0
southern_miss_lady_eagles,0.5666666666666667,0.0,66.7,64.03333333333333,12.4,,,,,,0.0,,0.4627983620725226,39.63333333333333,0.8571488301951129,-7.033333333333333
rider_broncs,1.1333333333333333,0.06666666666666667,58.266666666666666,63.7,8.1,,,,0.0,,-0.06666666666666667,124.73333333333333,0.4212261382958523,32.43333333333333,0.7380344741631591,-2.4
columbia_lions,0.4642857142857143,0.07142857142857142,68.75,61.642857142857146,13.892857142857142,,,,0.0,,0.0,167.60714285714286,0.4236280437538938,42.57142857142857,0.8994709289158046,-5.857142857142857
lehigh_mountain_hawks,0.5333333333333333,0.0,69.0,60.13333333333333,16.3,,,,,,0.03333333333333333,,0.4169894690901634,39.13333333333333,1.1379902042402041,-0.8
missouri_tigers,0.9333333333333333,0.1,70.3,66.93333333333334,12.866666666666667,,,,0.0,,0.06666666666666667,389.96666666666664,0.478827462943554,36.1,0.9024326789767966,-8.533333333333333
south_alabama_jaguars,0.8846153846153846,0.19230769230769232,60.80769230769231,69.23076923076923,7.730769230769231,,,,,,-0.07692307692307693,,0.38168367305121864,33.80769230769231,0.7661831707098439,-6.3076923076923075
alabama_state_lady_hornets,1.1724137931034482,0.2413793103448276,64.03448275862068,68.48275862068965,11.172413793103448,,,,,,-0.1724137931034483,,0.4328041036888508,39.96551724137931,0.681312493315768,-9.89655172413793
vermont_catamounts,0.8333333333333334,0.0,61.96666666666667,55.0,15.3,,,597.8333333333334,0.0,,0.1,163.53333333333333,0.4433055811291755,33.7,1.0019431385607855,-2.433333333333333
brown_bears,0.8846153846153846,0.0,56.65384615384615,67.3076923076923,7.769230769230769,,,,,,-0.15384615384615385,,0.38389983648278797,33.96153846153846,0.6805754210330897,-2.269230769230769
south_carolina_gamecocks,0.7096774193548387,0.0,71.29032258064517,51.67741935483871,25.193548387096776,,,,-0.1935483870967742,,0.12903225806451613,457.64516129032256,0.4622838880639006,47.645161290322584,1.0015520020009834,0.3870967741935484
north_carolina_at_aggies,0.56,0.04,67.88,67.76,11.84,,,,,,-0.16,296.16,0.447758375341212,35.92,0.9229565804921843,-4.52
north_alabama_lions,0.896551724137931,0.20689655172413793,68.86206896551724,68.37931034482759,13.275862068965518,,,,,,-0.034482758620689655,,0.43550025177495943,34.96551724137931,1.000252274854254,-5.827586206896552
freed_hardeman_lions,2.0,0.0,71.0,62.0,10.0,,,,,,0.0,,0.4941176470588235,32.0,0.7857142857142857,1.0
saint_peters_peacocks,0.8709677419354839,0.16129032258064516,59.0,60.83870967741935,8.516129032258064,,,,0.0,,-0.03225806451612903,76.25806451612904,0.4089587717593147,39.58064516129032,0.5963542980021559,-7.193548387096774
morgan_state_lady_bears,0.5909090909090909,0.45454545454545453,62.5,57.40909090909091,14.954545454545455,,,,,,-0.18181818181818182,,0.4018203113969088,39.0,0.6767211134528187,-4.318181818181818
western_carolina_catamounts,1.2857142857142858,0.03571428571428571,52.357142857142854,60.92857142857143,7.642857142857143,,,,,,0.10714285714285714,,0.38853581017450683,35.57142857142857,0.5483408229424831,-7.464285714285714
chattanooga_mocs,0.8275862068965517,0.0,60.55172413793103,68.75862068965517,6.379310344827586,,,,0.0,,0.0,120.0,0.42139138528553965,33.89655172413793,0.73557118181209,-8.206896551724139
uab_blazers,0.8214285714285714,0.07142857142857142,66.75,64.03571428571429,11.142857142857142,,,,,,0.03571428571428571,,0.4576469821368269,40.357142857142854,0.7675430763630604,-8.214285714285714
wichita_state_shockers,0.4666666666666667,0.13333333333333333,64.06666666666666,62.93333333333333,12.266666666666667,,,,0.0,,0.03333333333333333,485.0,0.4278130778316856,42.06666666666667,0.7366997639350077,-4.033333333333333
northwestern_state_lady_demons,0.375,0.20833333333333334,62.666666666666664,63.875,10.875,,,,,,-0.16666666666666666,,0.41619833619786145,38.541666666666664,0.6050623515639556,-4.666666666666667
incarnate_word_cardinals,1.0344827586206897,0.034482758620689655,57.96551724137931,59.793103448275865,8.482758620689655,,,,,,-0.034482758620689655,,0.41145847195639723,35.51724137931034,0.6201411544425991,-5.344827586206897
western_illinois_leathernecks,0.4482758620689655,0.10344827586206896,70.79310344827586,71.93103448275862,13.275862068965518,,,,,,0.0,,0.4286879858626258,35.241379310344826,1.0161480495472168,-2.0
uic_flames,0.9615384615384616,0.11538461538461539,53.26923076923077,68.03846153846153,3.1538461538461537,,,,0.0,,0.0,191.80769230769232,0.40754947170427946,28.692307692307693,0.5546782324156291,-6.6923076923076925
